SampleID	Source	Gender	Replicate	Location1	Environment
A1FF1	Fecal_material	Female	Rep1	Apt1	Field
A1FF2	Fecal_material	Female	Rep2	Apt1	Field
A1FF3	Fecal_material	Female	Rep3	Apt1	Field
A1FF4	Fecal_material	Female	Rep4	Apt1	Field
A1FM1	Fecal_material	Male	Rep1	Apt1	Field
A1FM2	Fecal_material	Male	Rep2	Apt1	Field
A1FM3	Fecal_material	Male	Rep3	Apt1	Field
A1FM4	Fecal_material	Male	Rep4	Apt1	Field
A1GF1	Gut	Female	Rep1	Apt1	Field
A1GF2	Gut	Female	Rep2	Apt1	Field
A1GF3	Gut	Female	Rep3	Apt1	Field
A1GF4	Gut	Female	Rep4	Apt1	Field
A1GM1	Gut	Male	Rep1	Apt1	Field
A1GM2	Gut	Male	Rep2	Apt1	Field
A1GM3	Gut	Male	Rep3	Apt1	Field
A1GM4	Gut	Male	Rep4	Apt1	Field
A2FF1	Fecal_material	Female	Rep1	Apt2	Field
A2FF2	Fecal_material	Female	Rep2	Apt2	Field
A2FF3	Fecal_material	Female	Rep3	Apt2	Field
A2FM1	Fecal_material	Male	Rep1	Apt2	Field
A2FM2	Fecal_material	Male	Rep2	Apt2	Field
A2FM3	Fecal_material	Male	Rep3	Apt2	Field
A2GF1	Gut	Female	Rep1	Apt2	Field
A2GF2	Gut	Female	Rep2	Apt2	Field
A2GF3	Gut	Female	Rep3	Apt2	Field
A2GM1	Gut	Male	Rep1	Apt2	Field
A2GM2	Gut	Male	Rep2	Apt2	Field
A2GM3	Gut	Male	Rep3	Apt2	Field
A3FF1	Fecal_material	Female	Rep1	Apt3	Field
A3FF2	Fecal_material	Female	Rep2	Apt3	Field
A3FF3	Fecal_material	Female	Rep3	Apt3	Field
A3FM1	Fecal_material	Male	Rep1	Apt3	Field
A3FM2	Fecal_material	Male	Rep2	Apt3	Field
A3FM3	Fecal_material	Male	Rep3	Apt3	Field
A3GF1	Gut	Female	Rep1	Apt3	Field
A3GF2	Gut	Female	Rep2	Apt3	Field
A3GF3	Gut	Female	Rep3	Apt3	Field
A3GM1	Gut	Male	Rep1	Apt3	Field
A3GM2	Gut	Male	Rep2	Apt3	Field
A3GM3	Gut	Male	Rep3	Apt3	Field
LF1	Fecal_material	Female	LF1	Lab	Lab
LF2	Fecal_material	Female	LF2	Lab	Lab
LF3	Fecal_material	Female	LF3	Lab	Lab
LF4	Fecal_material	Female	LF4	Lab	Lab
LF5	Fecal_material	Female	LF5	Lab	Lab
LFM1	Fecal_material	Male	Rep1	Lab	Lab
LFM2	Fecal_material	Male	Rep2	Lab	Lab
LFM3	Fecal_material	Male	Rep3	Lab	Lab
LFM4	Fecal_material	Male	Rep4	Lab	Lab
LG1	Gut	Female	LF1	Lab	Lab
LG2	Gut	Female	LF2	Lab	Lab
LG3	Gut	Female	LF3	Lab	Lab
LG4	Gut	Female	LF4	Lab	Lab
LG5	Gut	Female	LF5	Lab	Lab
LGM1	Gut	Male	Rep1	Lab	Lab
LGM2	Gut	Male	Rep2	Lab	Lab
LGM3	Gut	Male	Rep3	Lab	Lab
LGM4	Gut	Male	Rep4	Lab	Lab
LI1	Whole_Insect	Female	LF6	Lab	Lab
LI2	Whole_Insect	Female	LF7	Lab	Lab
LI3	Whole_Insect	Female	LF8	Lab	Lab
LI4	Whole_Insect	Female	LF9	Lab	Lab
LI5	Whole_Insect	Female	LF10	Lab	Lab
